location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,city_name
0,6.924429,79.90725,4,19800,Asia/Colombo,530,Colombo
1,7.0650263,79.96622,19,19800,Asia/Colombo,530,Gampaha
2,6.572935,80.02519,5,19800,Asia/Colombo,530,Kalutara
3,7.275923,80.62659,499,19800,Asia/Colombo,530,Kandy
4,7.4868193,80.52632,362,19800,Asia/Colombo,530,Matale
5,6.9947276,80.73418,1865,19800,Asia/Colombo,530,Nuwara Eliya
6,6.0808434,80.23373,8,19800,Asia/Colombo,530,Galle
7,5.940246,80.55,6,19800,Asia/Colombo,530,Matara
8,6.1511426,81.127815,8,19800,Asia/Colombo,530,Hambantota
9,9.66608,80.034874,8,19800,Asia/Colombo,530,Jaffna
10,9.384886,80.38228,19,19800,Asia/Colombo,530,Kilinochchi[1]
11,8.963093,79.96543,5,19800,Asia/Colombo,530,Mannar
12,8.752197,80.53448,104,19800,Asia/Colombo,530,Vavuniya
13,9.244288,80.789246,5,19800,Asia/Colombo,530,Mullaitivu
14,7.6977153,81.65106,10,19800,Asia/Colombo,530,Batticaloa
15,7.275923,81.693474,38,19800,Asia/Colombo,530,Ampara
16,8.611599,81.170395,8,19800,Asia/Colombo,530,Trincomalee
17,7.4868193,80.37352,129,19800,Asia/Colombo,530,Kurunegala
18,8.04921,79.84615,4,19800,Asia/Colombo,530,Puttalam
19,8.330404,80.42882,95,19800,Asia/Colombo,530,Anuradhapura
20,7.908612,81.01536,56,19800,Asia/Colombo,530,Polonnaruwa
21,6.9947276,81.03797,676,19800,Asia/Colombo,530,Badulla
22,6.8541303,81.35636,152,19800,Asia/Colombo,530,Moneragala
23,6.7135324,80.38688,73,19800,Asia/Colombo,530,Ratnapura
24,7.275923,80.32176,172,19800,Asia/Colombo,530,Kegalle
25,6.924429,80.96964,1089,19800,Asia/Colombo,530,Welimada
26,6.8541303,80.97726,1217,19800,Asia/Colombo,530,Bandarawela
